label,measure,winners,population,winner_coverage,population_coverage,winner_mean,population_mean,winner_any_share,population_any_share,winner_any_events,any_ratio,sufficient
launch_300,ev11_f12,4301,529158,1.0,1.0,1.918158567774936,1.5423843162155726,0.7423854917461056,0.6536951156365396,3193,1.1356754456138214,True
launch_300,ev12_f12,4301,529158,1.0,1.0,0.2178563124854685,0.16991144421892895,0.17716810044175774,0.1491426001307738,762,1.1879107665174815,True
launch_300,ev21_f12,4301,529158,1.0,1.0,0.19483840967216925,0.22992376568057177,0.1597302952801674,0.1822366854512263,687,0.8764991246667375,True
launch_300,ev22_f12,4301,529158,1.0,1.0,4.262032085561497,3.9838970591014404,0.9667519181585678,0.9396116093869884,4158,1.028884603489825,True
launch_300,ev23_f12,4301,529158,1.0,1.0,0.7398279469890723,0.6285835232577037,0.44547779586142755,0.3898457549540969,1916,1.1427026976704702,True
launch_300,ev32_f12,4301,529158,1.0,1.0,0.2945826551964659,0.1503841952687099,0.19390839339688445,0.09774585284546393,834,1.983801744545146,True
launch_300,ev52_f12,4301,529158,1.0,1.0,2.421994884910486,2.4206777559821453,0.8653801441525226,0.8399154883796522,3722,1.0303181166738529,True
launch_300,ev53_f12,4301,529158,1.0,1.0,0.3345733550337131,0.39003284463241605,0.2678446872820274,0.3066248644072281,1152,0.8735256607445352,True
launch_300,ev71_f12,4301,529158,1.0,1.0,2.713089979074634,2.7080777385960335,0.6682166937921413,0.6101221185354847,2874,1.095217946525369,True
launch_300,ev81_f12,4301,529158,1.0,1.0,3.275517321553127,2.980053216619611,0.7754010695187166,0.7469602651759966,3335,1.0380753912472425,True
launch_300,ev_total_f12,4301,529158,1.0,1.0,16.37247151825157,15.203925859573133,0.9804696582190189,0.9680379017231149,4217,1.0128422208198413,True
launch_300,shares_change_f12,4301,529158,1.0,0.9996503879748582,0.025234828504830054,0.00407021959788656,0.2699372239014183,0.10608102871035005,1161,2.54463241149811,True
win_100,ev11_f12,20367,558318,1.0,1.0,1.9080866106937693,1.5323346193387997,0.7392841361025188,0.6528304657918964,15057,1.1324289763434252,True
win_100,ev12_f12,20367,558318,1.0,1.0,0.20479206559630775,0.1698333207956756,0.1753817449796239,0.14917305191664965,3572,1.1756932148684491,True
win_100,ev21_f12,20367,558318,1.0,1.0,0.24539696567977612,0.22729519736064394,0.19305739676928366,0.18093093899892176,3932,1.0670225768873844,True
win_100,ev22_f12,20367,558318,1.0,1.0,4.110030932390632,3.988123255922252,0.9537978101831394,0.9414473472107294,19426,1.0131185912935028,True
win_100,ev23_f12,20367,558318,1.0,1.0,0.7095301222565915,0.6326143882160346,0.424362940050081,0.3922997288283738,8643,1.0817314131658105,True
win_100,ev32_f12,20367,558318,1.0,1.0,0.29493788972357243,0.1521802986828295,0.1784258850100653,0.09871077056444535,3634,1.8075624776282775,True
win_100,ev52_f12,20367,558318,1.0,1.0,2.400942701428782,2.412515806404236,0.8495605636568959,0.8405227845063208,17303,1.0107525688978003,True
win_100,ev53_f12,20367,558318,1.0,1.0,0.35321844159670057,0.3852911781457879,0.28079736829184465,0.30350803663861814,5719,0.9251727611621214,True
win_100,ev71_f12,20367,558318,1.0,1.0,2.789512446604802,2.7306481252619474,0.6547847007413954,0.6178038322246462,13336,1.0598585935985294,True
win_100,ev81_f12,20367,558318,1.0,1.0,3.319438307065351,2.9592364924648678,0.7759611135660628,0.7467375223438972,15804,1.0391350244868331,True
win_100,ev_total_f12,20367,558318,1.0,1.0,16.335886483036283,15.190072682593074,0.9747139981342368,0.9694457280617855,19852,1.0054343115039395,True
win_100,shares_change_f12,20367,558318,1.0,0.9996668565226269,0.018108121533037647,0.003961558880746452,0.22561005548190702,0.10625980950742835,4595,2.1231927341836165,True
