lag,bucket_type,bucket,label,cell,rows,row_share,pool_share_of_all,events,rate,base,coverage,lift,ci_low,ci_high,sufficient,members,unconfirmed
0,all,ALL,win_50,decile 10,9341,0.0811865526352385,0.023742530418449072,771,0.08253934268279628,0.07375538868029481,0.2924441258778585,1.1190957590987283,1.045739560794489,1.1971054180271987,True,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,all,ALL,win_50,deciles 8-10,29326,0.254884577944653,0.07453949759677095,2417,0.0824183318556912,0.07375538868029481,0.2924441258778585,1.1174550542055628,1.0755190588983363,1.1608741280091506,True,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,all,ALL,win_100,decile 10,9341,0.0811865526352385,0.023742530418449072,154,0.016486457552724546,0.009612710332359895,0.2924441258778585,1.7150685896801765,1.4663730111403193,2.005118121597153,True,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,all,ALL,win_100,deciles 8-10,29326,0.254884577944653,0.07453949759677095,380,0.012957784900770647,0.009612710332359895,0.2924441258778585,1.347984538465703,1.2198150952392557,1.4894260075614454,True,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,all,ALL,launch_300,decile 10,9341,0.0811865526352385,0.023742530418449072,42,0.004496306605288513,0.0024335975524961756,0.2924441258778585,1.8475966170645544,1.367652220059549,2.49493983044589,False,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,all,ALL,launch_300,deciles 8-10,29326,0.254884577944653,0.07453949759677095,100,0.003409943394939644,0.0024335975524961756,0.2924441258778585,1.4011944544577704,1.1524784024291161,1.7033627241788878,True,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,drawdown,0-10,win_50,decile 10,9222,0.08127902979878548,0.030323456782004533,749,0.08121882454998916,0.07225390222190885,0.37307847863186033,1.124075268634584,1.049304008819078,1.203673181054673,True,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,drawdown,0-10,win_50,deciles 8-10,28863,0.2543869699720609,0.09490630374094522,2327,0.08062224993936874,0.07225390222190885,0.37307847863186033,1.1158186265394874,1.073116968207227,1.1600650803725892,True,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,drawdown,0-10,win_100,decile 10,9222,0.08127902979878548,0.030323456782004533,152,0.0164823248752982,0.009456994033192022,0.37307847863186033,1.7428714470421336,1.4886152606695788,2.0397050627451123,True,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,drawdown,0-10,win_100,deciles 8-10,28863,0.2543869699720609,0.09490630374094522,373,0.0129231195648408,0.009456994033192022,0.37307847863186033,1.366514509735696,1.2354281264032623,1.5113088054038657,True,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
