system,ticker,signal_date,entry_date,entry_price,shares,exit_date,exit_price,exit_reason,pnl,ret,holding_days,bars_held,partial,rank,notional_in,notional_out
S-B_minervini,SWC,2006-02-03,2006-02-06,14.786874999999998,675,2006-02-07,13.717414265624999,stop_7pct,-741.1263909574191,-0.07417849650349628,1,1,False,0.7486910994764397,9981.140624999998,9259.254629296875
S-B_minervini,BCO,2006-02-03,2006-02-06,23.53951973856209,424,2006-02-09,21.869861603505882,stop_7pct,-727.1886269528677,-0.0727862837162836,3,3,False,0.7946033024567056,9980.756369150326,9272.821319886494
S-B_minervini,VPHM,2006-02-03,2006-02-06,22.225425,449,2006-02-10,20.617971136875003,stop_7pct,-740.9834694085821,-0.0741784965034965,4,4,False,0.9987917841320982,9979.215825000001,9257.469040456876
S-B_minervini,MESAQ,2006-02-03,2006-02-06,12.200425,818,2006-02-13,11.318029261875001,stop_7pct,-741.037809372463,-0.0741784965034964,7,5,False,0.8465565847764801,9979.94765,9258.14793621375
S-B_minervini,GES,2006-02-03,2006-02-06,9.922183149231474,1006,2006-02-16,9.204561252963307,stop_7pct,-741.169132514382,-0.0741784965034964,10,8,False,0.9770438985098671,9981.716248126862,9259.788620481087
S-B_minervini,MUX,2006-03-03,2006-03-06,54.48357760416667,89,2006-03-07,61.95600027257812,half_at_2R,654.6824950575892,0.13487797202797203,1,1,True,1.0,4849.038406770834,5514.084024259453
S-B_minervini,MUX,2006-03-03,2006-03-06,54.48357760416667,90,2006-03-08,54.347368660156256,breakeven_stop,-22.053590124725815,-0.0044930069930068095,2,2,True,1.0,4903.521984375,4891.263179414063
S-B_minervini,ARW,2006-02-24,2006-02-27,35.52549,276,2006-03-13,32.85711,stop_7pct,-755.3464776000001,-0.0769596301536889,14,10,False,0.7033454252317614,9805.03524,9068.56236
S-B_minervini,HYC,2006-02-10,2006-02-13,7.3383,667,2006-03-17,8.344747845,half_at_2R,660.8401197023859,0.13487797202797225,32,23,True,0.8732394366197183,4894.6461,5565.946812615
S-B_minervini,UIC,2006-02-17,2006-02-21,49.08400582826747,98,2006-03-23,55.81587722761436,half_at_2R,649.4432085965191,0.13487797202797225,30,22,True,0.8227236099919419,4810.232571170212,5469.955968306207
S-B_minervini,HSOA,2006-03-10,2006-03-13,6.71675,728,2006-03-28,7.637952262500001,half_at_2R,660.1850238529014,0.13487797202797225,15,11,True,0.9928343949044586,4889.794,5560.429247100001
S-B_minervini,AGN1,2006-03-10,2006-03-13,57.91785999999999,144,2006-03-29,52.947,stop_7pct,-731.7683798399985,-0.08765255159269014,16,12,False,0.8240445859872612,8340.171839999999,7624.368
S-B_minervini,HSOA,2006-03-10,2006-03-13,6.71675,728,2006-03-30,6.699958125,breakeven_stop,-21.99184851499922,-0.0044930069930068095,17,13,True,0.9928343949044586,4889.794,4877.569515
S-B_minervini,MINI,2006-02-17,2006-02-21,22.972231856905772,211,2006-03-31,26.1228734560804,half_at_2R,654.4263102048062,0.13487797202797203,38,28,True,0.8432715551974215,4847.140921807118,5511.926299232964
S-B_minervini,SBUX,2006-02-03,2006-02-06,12.289458973615538,406,2006-04-03,13.99597324669179,half_at_2R,682.1729093875138,0.13658455544455528,56,39,True,0.7068062827225131,4989.520343287909,5682.365138156867
S-B_minervini,SRPT,2006-03-31,2006-04-03,46.916999999999994,218,2006-04-04,43.523727975,stop_7pct,-759.4493801485478,-0.07417849650349628,1,1,False,0.975517890772128,10227.905999999999,9488.17269855
S-B_minervini,TRDO,2006-02-03,2006-02-06,25.48355,391,2006-04-05,25.905075,delisted,144.72332262500095,0.014510011689564895,58,41,False,0.9017317760773258,9964.06805,10128.884325
