feature,lag,decile,rows,k_win,k_loss,median_fwd_12m,coverage,win_100_rate,loss_50_rate,ratio,sufficient
ret_6m_skip1,0,1,55842,4123,9575,-0.011401756978358712,0.9988823573662321,0.07383331542566526,0.17146592170767522,0.4306005221932115,True
ret_6m_skip1,0,2,55737,2484,5311,0.05067567567567566,0.9988823573662321,0.04456644598740513,0.0952867933329745,0.46770852946714364,True
ret_6m_skip1,0,3,55758,1821,3838,0.06883033371938041,0.9988823573662321,0.03265899063811471,0.06883317192151799,0.4744658676393956,True
ret_6m_skip1,0,4,55733,1515,2998,0.07661350872450967,0.9988823573662321,0.027183176932876394,0.053792187752319094,0.5053368912608406,True
ret_6m_skip1,0,5,55717,1279,2673,0.07591265370694411,0.9988823573662321,0.02295529192167561,0.0479745858535097,0.4784885895997007,True
ret_6m_skip1,0,6,55780,1206,2485,0.07720672045476551,0.9988823573662321,0.021620652563642883,0.044550017927572606,0.4853118712273642,True
ret_6m_skip1,0,7,55764,1257,2532,0.07131183411148201,0.9988823573662321,0.02254142457499462,0.04540563804605122,0.4964454976303317,True
ret_6m_skip1,0,8,55727,1320,2609,0.0632076586691881,0.9988823573662321,0.023686902219749853,0.046817521129793455,0.5059409735530855,True
ret_6m_skip1,0,9,55768,1914,3432,0.048674067827803924,0.9988823573662321,0.034320757423612104,0.06154066848371826,0.5576923076923077,True
ret_6m_skip1,0,10,55868,3417,6777,0.0027231515197020384,0.9988823573662321,0.06116202477267846,0.12130378749910503,0.5042054006197433,True
ret_6m_skip1,3,1,55712,3986,8904,0.0,0.9964249764471144,0.07154652498564043,0.15982194141298103,0.4476639712488769,True
ret_6m_skip1,3,2,55596,2394,5029,0.04761904761904767,0.9964249764471144,0.04306065184545651,0.0904561479243111,0.47603897395108374,True
ret_6m_skip1,3,3,55623,1798,3689,0.06299796991988837,0.9964249764471144,0.03232475774409867,0.06632148571634036,0.4873949579831933,True
ret_6m_skip1,3,4,55590,1506,3014,0.07237019533548705,0.9964249764471144,0.027091203453858608,0.05421838460154704,0.4996682149966821,True
ret_6m_skip1,3,5,55576,1293,2724,0.07142146997303023,0.9964249764471144,0.02326543831869872,0.049013962861666906,0.4746696035242291,True
ret_6m_skip1,3,6,55650,1271,2653,0.07397224180627149,0.9964249764471144,0.02283917340521114,0.047672955974842765,0.47908028646814926,True
ret_6m_skip1,3,7,55619,1326,2659,0.0706745058550291,0.9964249764471144,0.02384077383627897,0.04780740394469516,0.4986837156825874,True
ret_6m_skip1,3,8,55594,1454,2863,0.0693305901097171,0.9964249764471144,0.026153901500161888,0.051498363132712166,0.5078588892769822,True
ret_6m_skip1,3,9,55627,1851,3603,0.05805243445692887,0.9964249764471144,0.03327520808240603,0.06477070487353263,0.5137385512073273,True
ret_6m_skip1,3,10,55735,3362,6749,0.005289484275283085,0.9964249764471144,0.060321162644657755,0.12109087646900511,0.49814787375907543,True
ret_6m_skip1,6,1,55271,3725,8113,0.0,0.988440279553946,0.06739519820520708,0.14678583705740805,0.45913965240971283,True
ret_6m_skip1,6,2,55146,2385,4691,0.04289143917608573,0.988440279553946,0.04324883037754325,0.08506509991658506,0.5084203794500106,True
ret_6m_skip1,6,3,55179,1782,3476,0.061458843704066624,0.988440279553946,0.032294894796933614,0.06299497997426558,0.5126582278481012,True
ret_6m_skip1,6,4,55145,1457,2962,0.0710003551062186,0.988440279553946,0.026421253060114246,0.05371293861637501,0.4918973666441594,True
ret_6m_skip1,6,5,55139,1295,2756,0.07167923737691195,0.988440279553946,0.023486098768566714,0.04998277081557518,0.4698838896952105,True
ret_6m_skip1,6,6,55192,1317,2654,0.07560877863750326,0.988440279553946,0.02386215393535295,0.04808667922887375,0.4962321024868124,True
ret_6m_skip1,6,7,55179,1302,2817,0.07372654155495972,0.988440279553946,0.023595933235470015,0.0510520306638395,0.4621938232161874,True
ret_6m_skip1,6,8,55143,1481,3016,0.07085889570552162,0.988440279553946,0.02685744337449903,0.05469415882342274,0.4910477453580902,True
ret_6m_skip1,6,9,55180,1873,3691,0.06246170872351031,0.988440279553946,0.033943457774556,0.06689017760057991,0.5074505554050394,True
ret_6m_skip1,6,10,55290,3361,6739,0.011210762331838486,0.988440279553946,0.0607885693615482,0.12188460842828722,0.4987386852648761,True
ret_6m_skip1,12,1,54013,3590,7331,0.0,0.9660748892208383,0.06646548053246441,0.13572658434080684,0.4897012685854591,True
ret_6m_skip1,12,2,53907,2443,4293,0.04472636815920383,0.9660748892208383,0.04531878976756266,0.0796371528743948,0.5690659212671791,True
ret_6m_skip1,12,3,53923,1841,3238,0.06141774891774898,0.9660748892208383,0.03414127552250431,0.06004858780112383,0.5685608400247065,True
ret_6m_skip1,12,4,53911,1510,2903,0.07160386891872395,0.9660748892208383,0.028009126152362226,0.05384800875517056,0.5201515673441267,True
ret_6m_skip1,12,5,53870,1337,2715,0.07487145003029438,0.9660748892208383,0.02481900872470763,0.05039910896602933,0.49244935543278084,True
ret_6m_skip1,12,6,53952,1315,2591,0.07422973126599208,0.9660748892208383,0.024373517200474495,0.04802416963226572,0.5075260517174836,True
ret_6m_skip1,12,7,53931,1275,2699,0.07759528321751952,0.9660748892208383,0.023641319463759247,0.05004542841779311,0.4723971841422749,True
ret_6m_skip1,12,8,53903,1338,3000,0.07214121258633921,0.9660748892208383,0.02482236610207224,0.055655529376843586,0.44600000000000006,True
ret_6m_skip1,12,9,53927,1718,3556,0.06249214133031544,0.9660748892208383,0.03185788195152706,0.06594099430711889,0.48312710911136103,True
ret_6m_skip1,12,10,54040,2934,6355,0.019549737152895097,0.9660748892208383,0.054293116210214654,0.1175980754996299,0.46168371361132965,True
ret_12m_skip1,0,1,55271,4260,9535,-0.017158280316175167,0.988440279553946,0.07707477700783413,0.17251361473467097,0.44677503932878876,True
ret_12m_skip1,0,2,55146,2434,4985,0.05066278738091179,0.988440279553946,0.044137380771044135,0.0903964022775904,0.4882647943831494,True
ret_12m_skip1,0,3,55177,1748,3532,0.06773580924245626,0.988440279553946,0.03167986661108795,0.06401217898762165,0.4949037372593431,True
