label,lag,feature,winners,population,winner_median_decile,winner_mean_decile,winner_coverage,population_median_decile,population_mean_decile,population_coverage
launch_300,0,ret_6m_skip1,4301,529158,4.0,4.971475333177461,0.9944199023482911,6.0,5.5004105323298935,0.9989114782352341
launch_300,0,ret_12m_skip1,4301,529158,4.0,4.785389221556886,0.9707044873285282,6.0,5.500347075482702,0.988251146160504
launch_300,0,eps_growth_q0,4301,529158,4.0,4.739086803813347,0.4633806091606603,5.0,5.495343142806093,0.7509496218520745
launch_300,0,rev_growth_accel,4301,529158,5.0,5.306779661016949,0.8230644036270635,6.0,5.50036322926249,0.9182871656480673
launch_300,0,op_margin_delta,4301,529158,5.0,5.4718870346598205,0.905603348058591,6.0,5.50034100227072,0.9587457810332641
launch_300,0,peg,4301,529158,4.0,4.6172185430463575,0.1755405719600093,6.0,5.500960513254164,0.4112042149981669
launch_300,0,pe,4301,529158,6.0,5.51959686450168,0.415252266914671,5.0,5.487893156275399,0.7696170141999176
launch_300,0,pe_vs_5y_median,4301,529158,5.0,5.174924924924925,0.3096954196698442,6.0,5.500487682532605,0.6781339410913186
launch_300,0,fcf_ps_slope,4301,529158,6.0,5.645115952213633,0.9925598697977215,6.0,5.5001673137398805,0.9939526568624116
launch_300,0,pegy,4301,529158,4.0,4.572549019607843,0.17786561264822134,6.0,5.500676062082449,0.42628288715279744
launch_300,0,pct_from_52w_high,4301,529158,8.0,7.403809523809524,0.9765170890490583,6.0,5.500363043159257,0.9916338787280925
launch_300,0,dist_above_30w_sma,4301,529158,4.0,5.012853470437018,0.9948849104859335,6.0,5.500408608008717,0.9989908496139149
launch_300,0,atr_contraction,4301,529158,5.0,5.334808946877913,0.9979074633806092,6.0,5.500412096740655,0.9997051920220426
launch_300,0,inst_pct,4301,529158,4.0,4.772403982930299,0.6538014415252267,6.0,5.500329129598853,0.5799213089474221
launch_300,0,inst_pct_delta_qoq,4301,529158,6.0,5.617456896551724,0.6472913275982329,6.0,5.500390184687419,0.5666700682971816
launch_300,0,insider_buy_count_90d,4301,529158,1.0,3.310952380952381,0.9765170890490583,1.0,2.6224734103279483,0.8690391149713318
