label,drawdown_bucket,sector,rows,winners,b_rows,b_winners,winner_rate,bucket_rate,winner_share,population_share,ratio,sufficient
launch_300,0-10,Basic Materials,23086,186,402582.0,2840.0,0.008056830979814607,0.007054463438504454,0.06549295774647887,0.05734483906384289,1.1420898343365224,True
launch_300,0-10,Communication Services,16999,132,402582.0,2840.0,0.0077651626566268605,0.007054463438504454,0.04647887323943662,0.042224938025048314,1.100744617123294,True
launch_300,0-10,Consumer Cyclical,52241,313,402582.0,2840.0,0.005991462644283226,0.007054463438504454,0.11021126760563381,0.12976486777848986,0.8493151458664893,True
launch_300,0-10,Consumer Defensive,20139,80,402582.0,2840.0,0.003972391876458613,0.007054463438504454,0.028169014084507043,0.050024591263394785,0.5631033332424159,False
launch_300,0-10,Energy,28378,196,402582.0,2840.0,0.006906758756783424,0.007054463438504454,0.06901408450704226,0.07048998713305613,0.9790622372617551,True
launch_300,0-10,Financial Services,63561,114,402582.0,2840.0,0.0017935526502100344,0.007054463438504454,0.04014084507042254,0.15788336289252872,0.2542436665587522,True
launch_300,0-10,Healthcare,62710,902,402582.0,2840.0,0.014383670865890607,0.007054463438504454,0.3176056338028169,0.15576950782697688,2.038946121314075,True
launch_300,0-10,Industrials,58069,305,402582.0,2840.0,0.0052523721779262605,0.007054463438504454,0.1073943661971831,0.14424142162342082,0.7445459493429258,True
launch_300,0-10,Real Estate,2543,14,402582.0,2840.0,0.005505308690523005,0.007054463438504454,0.004929577464788733,0.006316725536660854,0.7804007687493424,False
launch_300,0-10,Technology,62173,574,402582.0,2840.0,0.009232303411448699,0.007054463438504454,0.20211267605633804,0.15443561808525966,1.3087180183055775,True
launch_300,0-10,Unknown,49,0,402582.0,2840.0,0.0,0.007054463438504454,0.0,0.00012171433397419656,0.0,False
launch_300,0-10,Utilities,12634,24,402582.0,2840.0,0.0018996359031185689,0.007054463438504454,0.008450704225352112,0.03138242643734693,0.26928141589763366,False
launch_300,10-20,Basic Materials,4359,19,73674.0,636.0,0.0043587978894241795,0.008632624806580341,0.029874213836477988,0.05916605586774167,0.5049215026815048,False
launch_300,10-20,Communication Services,3024,20,73674.0,636.0,0.006613756613756613,0.008632624806580341,0.031446540880503145,0.04104568775958954,0.7661350703803534,False
launch_300,10-20,Consumer Cyclical,9202,88,73674.0,636.0,0.009563138448163443,0.008632624806580341,0.13836477987421383,0.12490159350652877,1.1077903491037633,False
launch_300,10-20,Consumer Defensive,3849,26,73674.0,636.0,0.006755001299038711,0.008632624806580341,0.040880503144654086,0.05224366805114423,0.7824968014235504,False
launch_300,10-20,Energy,5198,31,73674.0,636.0,0.00596383224317045,0.008632624806580341,0.04874213836477988,0.07055406249151668,0.6908480765461318,False
launch_300,10-20,Financial Services,11350,32,73674.0,636.0,0.0028193832599118945,0.008632624806580341,0.050314465408805034,0.15405706219290388,0.32659629290998254,False
launch_300,10-20,Healthcare,11197,185,73674.0,636.0,0.01652228275430919,0.008632624806580341,0.2908805031446541,0.15198034584792464,1.9139349994354957,True
launch_300,10-20,Industrials,10886,112,73674.0,636.0,0.01028844387286423,0.008632624806580341,0.1761006289308176,0.14775904661074463,1.1918094558009422,True
launch_300,10-20,Real Estate,414,6,73674.0,636.0,0.014492753623188406,0.008632624806580341,0.009433962264150943,0.005619350109943806,1.6788351107465136,False
launch_300,10-20,Technology,11770,104,73674.0,636.0,0.008836023789294817,0.008632624806580341,0.16352201257861634,0.15975785215951352,1.0235616614033118,True
launch_300,10-20,Unknown,9,0,73674.0,636.0,0.0,0.008632624806580341,0.0,0.0001221597849987784,0.0,False
launch_300,10-20,Utilities,2416,13,73674.0,636.0,0.005380794701986755,0.008632624806580341,0.020440251572327043,0.032793115617449846,0.6233092277895789,False
launch_300,20-30,Basic Materials,1908,5,30925.0,171.0,0.002620545073375262,0.0055295068714632176,0.029239766081871343,0.06169765561843169,0.4739202128311694,False
launch_300,20-30,Communication Services,1329,5,30925.0,171.0,0.003762227238525207,0.0055295068714632176,0.029239766081871343,0.042974939369442196,0.6803910956221756,False
launch_300,20-30,Consumer Cyclical,3836,28,30925.0,171.0,0.0072992700729927005,0.0055295068714632176,0.16374269005847952,0.12404203718674212,1.3200580526742647,False
launch_300,20-30,Consumer Defensive,1799,1,30925.0,171.0,0.0005558643690939411,0.0055295068714632176,0.005847953216374269,0.058172999191592564,0.10052693341655045,False
launch_300,20-30,Energy,2615,14,30925.0,171.0,0.005353728489483747,0.0055295068714632176,0.08187134502923976,0.08455941794664511,0.9682108393993268,False
launch_300,20-30,Financial Services,4237,2,30925.0,171.0,0.0004720320981826764,0.0055295068714632176,0.011695906432748537,0.13700889248181083,0.08536603880876764,False
