lag,combo,lift,events,drawdown 0-10,drawdown 10-20,drawdown 20-30,drawdown >30,mst 0-12,mst 13-24,mst >24
12,h9_rs6_top_decile AND h9_rs12_top_decile,2.8714351899677837,247,0.155222409906157,0.12399781819725161,0.1383848527898077,0.854492703389421,0.21608233502520738,0.10579461748635982,0.11051661225679327
6,h9_rs6_top_decile AND h9_rs12_top_decile,2.8519206412804095,279,0.15416750353527028,0.12315511714350937,0.13744437607043164,0.8486854891010546,0.21461381877171037,0.10507562712885052,0.10976553077037009
3,h9_rs6_top_decile AND h9_rs12_top_decile,2.3838828625382824,259,0.12886658356420427,0.10294373866605785,0.11488794180453255,0.709405010738516,0.17939286150826442,0.08783133133412482,0.09175155995344393
0,h9_rs6_top_decile AND h9_rs12_top_decile,2.1649722167343315,289,0.11703283641416545,0.09349047203664602,0.10433784560192894,0.6442607406580756,0.16291931417818362,0.07976582871806863,0.08332606490980657
3,h5_peg_lt_05 AND ctl_pe_lt_15,2.1344278586955023,249,0.11538168688434558,0.09217146829653619,0.10286580245586371,0.6351712333743725,0.16062077850865655,0.0786404581415798,0.0821504649917573
