system,ticker,signal_date,entry_date,entry_price,shares,exit_date,exit_price,exit_reason,pnl,ret,holding_days,bars_held,partial,rank,notional_in,notional_out
S-C_weinstein,TZOO,2006-04-21,2006-04-24,44.881925,231,2006-04-27,40.29274816875001,stop_10pct,-1079.7751975207302,-0.10404370629370618,3,3,False,1.0787097501107423,10367.724675000001,9307.624826981251
S-C_weinstein,MROI,2006-04-21,2006-04-24,20.5312,505,2006-04-28,18.4318848,stop_10pct,-1079.8305338239988,-0.10404370629370618,4,4,False,0.13991077448924827,10368.256,9308.101824
S-C_weinstein,CALM,2006-03-31,2006-04-03,2.0618514077340566,5083,2006-05-17,1.8510271012932493,stop_10pct,-1091.5091111000092,-0.1040437062937063,44,31,False,0.08812144218499451,10480.390705512209,9408.770755873586
S-C_weinstein,HTLD,2006-04-21,2006-04-24,12.844247546558705,807,2006-05-17,11.53092323492308,stop_10pct,-1079.5234823106057,-0.10404370629370618,23,17,False,0.16924068305656004,10365.307770072875,9305.455050582925
S-C_weinstein,COHR,2006-04-28,2006-05-01,10.857075,922,2006-05-19,9.74693908125,stop_10pct,-1042.5422180704136,-0.1040437062937064,18,14,False,0.12129504492756071,10010.22315,8986.677832912499
S-C_weinstein,DWSN1,2006-05-05,2006-05-08,33.95751025411493,299,2006-05-19,30.48535483063168,stop_10pct,-1057.442888281832,-0.1040437062937063,11,9,False,0.1280886180809695,10153.295565980365,9115.121094358872
S-C_weinstein,POS,2006-05-05,2006-05-08,29.41360424504534,198,2006-05-22,26.40606321098946,stop_10pct,-606.5454188993599,-0.10404370629370618,14,10,False,0.0030844758010388773,5823.893640518978,5228.400515775913
S-C_weinstein,CBST,2006-05-26,2006-05-30,25.613875,366,2006-06-02,22.99485628125,stop_10pct,-976.3516467114387,-0.1040437062937064,3,3,False,0.09322250583081093,9374.67825,8416.1173989375
S-C_weinstein,MOV,2006-06-02,2006-06-05,13.476757198519808,700,2006-06-08,12.098758774971158,stop_10pct,-982.5017576654991,-0.1040437062937063,3,3,False,0.22295996785080052,9433.730038963866,8469.13114247981
S-C_weinstein,SGY,2006-05-26,2006-05-30,2889.5919649999996,3,2006-06-13,2594.1311865787497,stop_10pct,-902.8335047184855,-0.10404370629370618,14,10,False,0.05100442344244893,8668.775894999999,7782.393559736249
