label,lag,field,winners,population,winner_median,winner_coverage,population_median,population_coverage,winner_mean,population_mean
launch_300,0,years_since_first_price,4301,529158,8.413415468856947,1.0,16.32854209445585,1.0,12.242356766910785,16.28250718634637
launch_300,0,drawdown_from_3y_high,4301,529158,-0.5528113504992118,0.7888863055103464,-0.19398673229188956,0.9020349309657985,-0.5138967070887159,-0.2530140942670658
launch_300,0,months_since_3y_low,4301,529158,12.0,0.7888863055103464,26.0,0.9020349309657985,14.944591806660773,22.665877536825477
launch_300,0,realized_vol_12m,4301,529158,0.6597820129675156,0.9760520809114159,0.37147725725043057,0.9914732461760004,0.7131263492448193,0.42614835590105904
launch_300,0,avg_dollar_volume_20d,4301,529158,10.155890174430002,1.0,16.150492325000002,1.0,118.35155601117206,82.92991618235803
launch_300,0,price,4301,529158,13.39,1.0,30.2,1.0,27.507736805394075,51.832107551998604
launch_300,0,marketcap_musd,4301,529158,790.4,1.0,1868.9,1.0,5292.424087421529,10670.9614814477
launch_300,0,rev_growth_yoy,4301,529158,0.0662524015536391,0.9160660311555452,0.07348017621145364,0.962742696888264,0.6107888753684739,2.6409828114668517
launch_300,0,gross_margin,4301,529158,0.426,0.9388514299000232,0.441,0.9792576130380718,0.48423873204556617,0.4646879166007389
launch_300,0,op_margin,4301,529158,-0.0025433401653863546,0.9374564054870961,0.10311400305424606,0.9773526999497315,-8.124110794882805,-4.852998712080867
launch_300,0,cash_to_mcap,4301,529158,0.11295930652540333,1.0,0.0726757012291207,0.9999792122579645,0.21923366318326568,0.1436887344131197
launch_300,0,net_debt_to_mcap,4301,529158,0.052039406865732274,1.0,0.11437863131214662,0.9999792122579645,0.8469947424258227,0.3891853738828996
launch_300,0,capex_to_rev,4301,529158,0.03543076045317467,0.9374564054870961,0.03163900414937759,0.976528749447235,0.2361862857347558,0.4647554023088384
launch_300,0,rnd_to_rev,4301,529158,0.038128561616005384,0.9374564054870961,0.0,0.9773526999497315,6.0610256139206875,3.26333347923488
launch_300,0,shares_chg_4q,4301,529158,0.01778260534446896,0.9883747965589398,0.005176201571168715,0.9936502897055322,0.09339781587137877,0.0992337965056004
launch_300,0,shares_chg_8q,4301,529158,0.048525613306733995,0.8902580795163916,0.011440669930461,0.9425993748559032,0.23451031059995375,0.215127567612944
launch_300,0,rev_growth_streak,4301,529158,1.0,0.9160660311555452,3.0,0.962742696888264,3.3774111675126903,4.4983167891206675
launch_300,0,quarters_since_loss,4301,529158,0.0,1.0,7.0,0.9998148001164113,2.6628691002092535,6.448072052319207
launch_300,0,ev11_t12,4301,529158,1.0,1.0,1.0,1.0,1.9195535921878633,1.7525427188098828
launch_300,0,ev12_t12,4301,529158,0.0,1.0,0.0,1.0,0.18367821436875145,0.16637374848343972
launch_300,0,ev21_t12,4301,529158,0.0,1.0,0.0,1.0,0.16833294582655198,0.22528242982247268
launch_300,0,ev22_t12,4301,529158,4.0,1.0,4.0,1.0,4.1776331085794,4.088000181420294
launch_300,0,ev23_t12,4301,529158,0.0,1.0,0.0,1.0,0.6624040920716112,0.6421843759330862
launch_300,0,ev32_t12,4301,529158,0.0,1.0,0.0,1.0,0.24040920716112532,0.17240030387899266
launch_300,0,ev52_t12,4301,529158,2.0,1.0,2.0,1.0,2.5387119274587304,2.390121664984749
launch_300,0,ev53_t12,4301,529158,0.0,1.0,0.0,1.0,0.34178098116717043,0.3709024525756012
launch_300,0,ev71_t12,4301,529158,1.0,1.0,1.0,1.0,2.602883050453383,2.7548728357125847
launch_300,0,ev81_t12,4301,529158,2.0,1.0,2.0,1.0,2.812136712392467,3.045929571129984
launch_300,0,ev_total_t12,4301,529158,14.0,1.0,14.0,1.0,15.647523831667055,15.608610282751087
launch_300,0,insider_net_buys_12m,4301,529158,2.0,0.9532666821669379,0.0,0.8339588553891276,7.920731707317073,5.795522733040862
launch_300,0,officer_buys_12m,4301,529158,0.0,0.9532666821669379,0.0,0.8339588553891276,2.506341463414634,1.7723840687429753
launch_300,0,inst_pct,4301,529158,0.7494972975897524,0.6538014415252267,0.8234376900156226,0.5799213089474221,0.7054110563550209,0.7778647881708924
launch_300,0,inst_pct_delta_4q,4301,529158,0.01626824072915556,0.6010230179028133,0.00851600706902056,0.510671670843113,0.03100186072263284,0.017963382640733765
launch_300,0,spy_drawdown,4301,529158,-0.04868640498221366,1.0,-0.020479859475428075,1.0,-0.1138453657221108,-0.0682334622313402
launch_300,0,months_since_trough,4301,529158,2.0,1.0,3.0,1.0,5.867937688909556,8.368598792799126
launch_300,6,years_since_first_price,4301,529158,7.912388774811773,1.0,15.827515400410677,1.0,11.742326291531441,15.782574358783275
launch_300,6,drawdown_from_3y_high,4301,529158,-0.45018404400512835,0.727040223203906,-0.19319606087734997,0.8587397336901266,-0.4497875868990699,-0.2535133460740784
launch_300,6,months_since_3y_low,4301,529158,19.0,0.727040223203906,27.0,0.8587397336901266,17.848417013111607,22.823810707974534
launch_300,6,realized_vol_12m,4301,529158,0.5847081060873178,0.9314112996977447,0.36703282721737146,0.9691056357458453,0.6383649349271646,0.423775674270001
launch_300,6,avg_dollar_volume_20d,4301,529158,10.939279063,0.9946524064171123,14.962639498999998,0.9989436047456526,111.10806653232312,78.79012341913518
launch_300,6,price,4301,529158,16.76,0.9955824226923972,29.64,0.9991628209343901,29.841285847734742,49.94945864974662
launch_300,6,marketcap_musd,4301,529158,912.6,0.9955824226923972,1796.3,0.9991628209343901,5753.291078935086,10209.5420744634
launch_300,6,rev_growth_yoy,4301,529158,0.10436527847466137,0.8681701929783772,0.07608161625917909,0.9398100378336905,0.661932643985029,3.3536553932692965
launch_300,6,gross_margin,4301,529158,0.43,0.9379214136247385,0.44,0.9767026105624407,0.4896259295984119,0.45542444130565796
launch_300,6,op_margin,4301,529158,0.00992465575474149,0.9367588932806324,0.10362193437041718,0.9750263626364905,-7.958106193758055,-4.708236292463513
launch_300,6,cash_to_mcap,4301,529158,0.10667933447288633,0.9955824226923972,0.07262489458955032,0.9991231352450497,0.21887860573610723,0.1489481471226304
launch_300,6,net_debt_to_mcap,4301,529158,0.035353206287922115,0.9955824226923972,0.11093620494505663,0.9991231352450497,0.6711238845900206,0.41418178731251676
launch_300,6,capex_to_rev,4301,529158,0.03793353982639287,0.933968844454778,0.03157638830448727,0.973913273540228,-1.2383446662977775,0.46136824073388705
launch_300,6,rnd_to_rev,4301,529158,0.031020642201834862,0.9367588932806324,0.0,0.9750263626364905,5.850382216981737,3.1152060162683703
launch_300,6,shares_chg_4q,4301,529158,0.01751283448974328,0.9430365031388049,0.00525214137790142,0.9696234395020012,0.09573267791590978,0.09116436640314465
launch_300,6,shares_chg_8q,4301,529158,0.05267454273794758,0.8423622413392234,0.011929230815861613,0.9171873051149184,0.2818499838999001,0.24870122028578942
launch_300,6,rev_growth_streak,4301,529158,2.0,0.8681701929783772,3.0,0.9398100378336905,3.748527048741296,4.5615151978250905
