label,field,winner_coverage,used,imputed_share,log1p
win_100,pr_ret_6m_skip1,0.9984779299847792,True,0.0015220700152207556,False
win_100,pr_ret_12m_skip1,0.9809004762606177,True,0.019099523739382285,False
win_100,pr_eps_growth_q0,0.5644424804831345,True,0.4355575195168655,False
win_100,pr_rev_growth_accel,0.8633573918593803,True,0.13664260814061968,False
win_100,pr_op_margin_delta,0.9188883978985614,True,0.08111160210143864,False
win_100,pr_peg,0.23194383070653507,False,,False
win_100,pr_pe,0.5277655030195905,True,0.47223449698040953,False
win_100,pr_pe_vs_5y_median,0.43182599302793734,False,,False
win_100,pr_fcf_ps_slope,0.9957283841508322,True,0.004271615849167798,False
win_100,pr_pegy,0.23817940786566505,False,,False
win_100,pr_pct_from_52w_high,0.9860558746992685,True,0.013944125300731525,False
win_100,pr_dist_above_30w_sma,0.9986743261157756,True,0.001325673884224443,False
win_100,pr_atr_contraction,0.9996072077380076,True,0.0003927922619924029,False
win_100,pr_inst_pct,0.6424117444886336,True,0.3575882555113664,False
win_100,pr_inst_pct_delta_qoq,0.6350468895762753,True,0.3649531104237247,False
win_100,pr_insider_buy_count_90d,0.9461874601070359,True,0.053812539892964084,False
win_100,pr_net_debt_to_ebitda,0.6766337703147248,True,0.3233662296852752,False
win_100,pr_share_count_change_8q,0.91584425786812,True,0.08415574213188004,False
win_100,pr_shareholder_yield,0.9156478617371238,True,0.08435213826287624,False
win_100,pr_marketcap,1.0,True,0.0,False
win_100,pr_pb,0.9419158442578681,True,0.05808415574213188,False
win_100,pr_dividend_yield,0.9998036038690038,True,0.00019639613099620146,False
win_100,pr_realized_vol_12m,0.9859085776010212,True,0.014091422398978759,False
