system,ticker,signal_date,entry_date,entry_price,shares,exit_date,exit_price,exit_reason,pnl,ret,holding_days,bars_held,partial,rank,notional_in,notional_out
S-A_canslim,CAT,2006-03-17,2006-03-20,46.51604584522083,214,2006-05-19,45.25094448474856,close_below_sma50,-290.36982707167954,-0.02914075806173766,60,43,False,0.8326026305300916,9954.433810877257,9683.702119736192
S-A_canslim,CBZ,2006-03-17,2006-03-20,7.548825,1323,2006-05-22,7.840350000000001,close_below_sma50,365.3276964750021,0.03654343093593604,63,44,False,0.8991630131526505,9987.095475,10372.783050000002
S-A_canslim,SRCE,2006-06-30,2006-07-03,18.352472440759076,544,2006-07-11,16.842063958884605,stop_8pct,-840.8080419411181,-0.0841335664335664,8,5,False,0.8182152038193169,9983.745007772937,9162.082793633224
S-A_canslim,TTEC,2006-08-18,2006-08-21,11.721388699646642,848,2006-10-26,14.330862049373042,take_profit_20pct,2190.7410919328195,0.2201821238806343,66,47,False,0.9220831651190957,9939.737617300352,12152.57101786834
S-A_canslim,FMD,2006-09-15,2006-09-18,402.73533299999997,24,2006-10-26,486.18033299999996,take_profit_20pct,1981.3460240160002,0.20478364813170424,38,28,False,0.9751729751729752,9665.647991999998,11668.327991999999
S-A_canslim,CGX,2006-08-04,2006-08-07,61.653749999999995,160,2006-10-30,61.6455,close_below_sma50,-21.047880000000077,-0.0021315464536679762,84,59,False,0.8997574777687954,9864.599999999999,9863.279999999999
S-A_canslim,CMCSA,2007-01-12,2007-01-16,9.166466963570127,1126,2007-02-09,8.424716456878032,stop_8pct,-855.0187430667229,-0.08275632367632368,24,18,False,0.8888003188521323,10321.441800979963,9486.230730444664
S-A_canslim,CTRA,2007-02-23,2007-02-26,6.253902969599999,1637,2007-03-05,5.747837141299967,stop_8pct,-848.0766094886967,-0.0827563236763238,7,5,False,0.8646496815286624,10237.639161235198,9409.209400308046
S-A_canslim,HUBG,2007-04-20,2007-04-23,17.246628015806987,588,2007-06-21,17.030168397683397,close_below_sma50,-147.43301174780208,-0.014523762464111467,59,42,False,0.843420538852011,10141.017273294508,10013.739017837837
S-A_canslim,CHTT,2007-03-23,2007-03-26,59.959525,169,2007-07-16,62.50335,close_below_sma50,409.21019912500014,0.040342934368112315,112,77,False,0.8891912908242613,10133.159725,10563.066149999999
S-A_canslim,RIG,2007-11-02,2007-11-05,103.65919686220731,98,2007-11-16,95.2710946521175,stop_8pct,-841.5291851572056,-0.08275632367632368,11,9,False,0.8883085576536762,10158.601292496316,9336.567275907515
S-A_canslim,PSEM,2007-12-07,2007-12-10,18.556275,549,2007-12-14,17.029093567500002,stop_8pct,-857.958973786057,-0.0841335664335664,4,4,False,0.8806270096463023,10187.394975,9348.9723685575
S-A_canslim,EGN,2007-10-26,2007-10-29,58.097483817569724,175,2008-01-08,60.01688293865905,close_below_sma50,315.22483200829083,0.030973549125028255,71,48,False,0.816686722823907,10167.059668074702,10502.954514265333
S-A_canslim,RIG,2007-12-21,2007-12-24,114.34198753631283,88,2008-01-15,105.0894339048744,stop_8pct,-833.5346846534085,-0.0827563236763238,22,14,False,0.9082125603864735,10062.09490319553,9247.870183628947
S-A_canslim,WWD,2008-05-16,2008-05-19,36.49933247920388,272,2008-05-20,33.5458064949867,stop_8pct,-822.4113455080533,-0.0827563236763238,1,1,False,0.9185597942563223,9927.818434343455,9124.459366636382
S-A_canslim,BMC,2008-05-16,2008-05-19,38.87884,256,2008-07-01,35.49447,stop_8pct,-885.4382873600007,-0.08887322826447563,43,30,False,0.8324046292327475,9952.98304,9086.58432
S-A_canslim,AROPQ,2009-08-21,2009-08-24,26.966939999999997,363,2009-10-22,27.699273,close_below_sma50,245.99304368100093,0.025104435178882056,59,42,False,0.8515325670498084,9788.99922,10054.836099
S-A_canslim,CHBT,2009-10-16,2009-10-19,17.94475,546,2009-10-22,16.467897075000003,stop_8pct,-825.1510023529481,-0.08413356643356629,3,3,False,0.8170055452865065,9797.833499999999,8991.471802950002
S-A_canslim,CMG,2010-10-22,2010-10-25,4.144139999999999,2348,2010-11-24,4.967995031999999,take_profit_20pct,1913.0163220808627,0.19640479520479515,30,22,False,0.9778615167216204,9730.440719999999,11664.852335135998
S-A_canslim,DECK,2010-10-29,2010-11-01,9.759749999999999,998,2010-11-24,11.73825,take_profit_20pct,1953.0879960000038,0.2003173188910532,23,17,False,0.9212635549269212,9740.230499999998,11714.773500000001
S-A_canslim,SAM,2010-11-05,2010-11-08,82.0446,120,2010-12-21,98.26372500000001,take_profit_20pct,1924.6580009999998,0.1952937046572094,43,30,False,0.9505827505827505,9845.352,11791.647
S-A_canslim,CMG,2011-02-11,2011-02-14,5.393387999999999,1912,2011-02-23,4.956955043039999,stop_8pct,-854.2496696058133,-0.0827563236763238,9,6,False,0.9631294964028777,10312.157855999998,9477.698042292477
S-A_canslim,ACIW,2011-02-25,2011-02-28,10.205449999999999,1002,2011-05-05,10.2872175,close_below_sma50,61.397382165001545,0.005998130301076321,66,47,False,0.8172382671480144,10225.8609,10307.791935000001
S-A_canslim,ESGR,2011-04-15,2011-04-18,100.51065,102,2011-06-16,98.95200000000001,close_below_sma50,-179.32749029999832,-0.01747433026954137,59,41,False,0.8056174765938475,10252.086299999999,10093.104000000001
S-A_canslim,STMP,2011-10-28,2011-10-31,31.929625,319,2011-11-01,29.301816862500004,stop_8pct,-857.8036258166358,-0.08413356643356629,1,1,False,0.9880210828941064,10185.550375,9347.279579137501
S-A_canslim,CACC,2012-02-03,2012-02-06,92.58248999999998,106,2012-04-10,95.54436,close_below_sma50,294.01677390000077,0.02992976509728984,64,44,False,0.9265267175572519,9813.743939999998,10127.702159999999
S-A_canslim,TSCO,2012-01-13,2012-01-17,6.547793737574551,1547,2012-04-12,7.849495132604371,take_profit_20pct,1991.4594522289644,0.19640479520479515,86,60,False,0.9770334928229665,10129.436912027832,12143.168970138962
S-A_canslim,CMG,2012-02-03,2012-02-06,7.4074,1368,2012-04-25,8.10189,close_below_sma50,928.8456112799977,0.09157091659589134,79,55,False,0.9317748091603053,10133.3232,11083.385519999998
S-A_canslim,AET,2012-03-30,2012-04-02,46.38811401990842,227,2012-04-26,41.07082714720812,stop_8pct,-1226.8772997479027,-0.11639504173596649,24,17,False,0.881665107577175,10530.101882519211,9323.077762416244
S-A_canslim,ACN,2012-03-23,2012-03-26,48.984625171953255,215,2012-05-08,45.020789303038796,stop_8pct,-872.4358759287315,-0.08275632367632368,43,30,False,0.8144859813084112,10531.69441196995,9679.46970015334
S-A_canslim,BFH,2012-02-03,2012-02-06,80.85125785479003,121,2012-05-09,86.23815334007219,close_below_sma50,631.596534964563,0.06449610829766161,93,65,False,0.9083969465648855,9783.002200429593,10434.816554148734
S-A_canslim,PETM,2012-08-17,2012-08-20,69.75165511802119,147,2012-10-17,67.77790928571429,close_below_sma50,-310.3574833164639,-0.030238224840850148,58,41,False,0.9045988258317026,10253.493302349116,9963.352665
S-A_canslim,UVE,2014-10-31,2014-11-03,11.4571040877098,898,2014-12-09,13.71415359298863,take_profit_20pct,2004.2266663431237,0.1946083916083916,36,25,False,0.981346309813463,10288.4794707634,12315.30992650379
S-A_canslim,MCO,2014-10-24,2014-10-27,85.46932791171301,120,2014-12-30,85.88803519261788,close_below_sma50,29.681990136063177,0.0028911285606549875,64,44,False,0.8548048678136803,10256.319349405561,10306.564223114145
S-A_canslim,PAMT,2014-11-21,2014-11-24,11.446544999999999,910,2015-01-06,13.701514365,take_profit_20pct,2029.1373881278505,0.1946083916083916,43,28,False,0.986232790988736,10416.35595,12468.378072149999
S-A_canslim,PATK,2016-04-22,2016-04-25,19.14061211141662,557,2016-04-28,17.565339734647033,stop_8pct,-897.8719290389163,-0.08413356643356629,3,3,False,0.87118935165307,10661.320946059057,9783.894232198398
S-A_canslim,DY,2016-08-05,2016-08-08,97.47737999999998,108,2016-08-11,89.58951041039998,stop_8pct,-872.0931398411249,-0.0827563236763238,3,3,False,0.9387755102040817,10527.557039999998,9675.667124323198
S-A_canslim,WD,2017-03-17,2017-03-20,33.40950941004673,314,2017-05-03,39.99118276382593,take_profit_20pct,2043.5976157440728,0.19460839160839138,44,31,False,0.8965087281795511,10490.585954754673,12557.231387841342
