lag,bucket_type,bucket,label,cell,rows,row_share,pool_share_of_all,events,rate,base,coverage,lift,ci_low,ci_high,sufficient,window,members,unconfirmed
0,all,ALL,win_50,decile 10,11542,0.1003163676818245,0.029336932457953022,957,0.0829145728643216,0.07375538868029481,0.2924441258778585,1.1241832542396166,1.0578423278674445,1.19428716013273,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,all,ALL,win_50,deciles 8-10,34536,0.3001668752607426,0.08778203945311606,2777,0.08040884873754922,0.07375538868029481,0.2924441258778585,1.0902098162087512,1.0519558417124744,1.1297292215305965,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,all,ALL,win_100,decile 10,11542,0.1003163676818245,0.029336932457953022,167,0.014468896205163749,0.009612710332359895,0.2924441258778585,1.5051838352453166,1.2947758194273757,1.7492021051705142,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,all,ALL,win_100,deciles 8-10,34536,0.3001668752607426,0.08778203945311606,422,0.012219133657632615,0.009612710332359895,0.2924441258778585,1.2711434377148083,1.1561256800447635,1.397448357166026,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,all,ALL,launch_300,decile 10,11542,0.1003163676818245,0.029336932457953022,48,0.004158724657771617,0.0024335975524961756,0.2924441258778585,1.7088793722306113,1.2895795322416252,2.263758862970941,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,all,ALL,launch_300,deciles 8-10,34536,0.3001668752607426,0.08778203945311606,108,0.0031271716469770676,0.0024335975524961756,0.2924441258778585,1.2849995036235482,1.0646887641276508,1.5507255583189858,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,drawdown,0-10,win_50,decile 10,11382,0.10031640828125964,0.037425892983384904,927,0.08144438587243015,0.07225390222190885,0.37307847863186033,1.127197056046816,1.0595915870338888,1.1987114102687761,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,drawdown,0-10,win_50,deciles 8-10,34057,0.3001648143414918,0.11198503227333857,2684,0.07880905540711161,0.07225390222190885,0.37307847863186033,1.0907238638138925,1.0517734063687854,1.1309892085574111,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,drawdown,0-10,win_100,decile 10,11382,0.10031640828125964,0.037425892983384904,163,0.014320857494289229,0.009456994033192022,0.37307847863186033,1.514313897632386,1.3002292332241996,1.763052882760766,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,drawdown,0-10,win_100,deciles 8-10,34057,0.3001648143414918,0.11198503227333857,415,0.012185453798044454,0.009456994033192022,0.37307847863186033,1.2885123703447547,1.1709883807390076,1.4176715221830203,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,drawdown,0-10,launch_300,decile 10,11382,0.10031640828125964,0.037425892983384904,46,0.004041468986118433,0.0024149267149064435,0.37307847863186033,1.6735369074232975,1.255317373207466,2.2303370493347052,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,drawdown,0-10,launch_300,deciles 8-10,34057,0.3001648143414918,0.11198503227333857,105,0.003083066623601609,0.0024149267149064435,0.37307847863186033,1.2766708838702998,1.0549738694103203,1.5447820751329133,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,drawdown,10-20,win_50,decile 10,160,0.10031347962382445,0.004112687641373638,30,0.1875,0.180564263322884,0.04099835492494345,1.0384114583333335,0.7455199937945767,1.4124589165237376,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,drawdown,10-20,win_50,deciles 8-10,479,0.30031347962382443,0.012312358626362327,93,0.1941544885177453,0.180564263322884,0.04099835492494345,1.0752653096729299,0.8928820992313549,1.2846005787010257,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,drawdown,10-20,win_100,decile 10,160,0.10031347962382445,0.004112687641373638,4,0.025,0.020689655172413793,0.04099835492494345,1.2083333333333335,0.4719263031256131,3.0213115084181754,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,drawdown,10-20,win_100,deciles 8-10,479,0.30031347962382443,0.012312358626362327,7,0.014613778705636743,0.020689655172413793,0.04099835492494345,0.7063326374391092,0.3430000715028686,1.4429633402981898,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,drawdown,10-20,launch_300,decile 10,160,0.10031347962382445,0.004112687641373638,2,0.0125,0.003761755485893417,0.04099835492494345,3.322916666666667,0.9130500613663238,11.80974407660234,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,drawdown,10-20,launch_300,deciles 8-10,479,0.30031347962382443,0.012312358626362327,3,0.006263048016701462,0.003761755485893417,0.04099835492494345,1.6649269311064718,0.5668206398114229,4.851495809938658,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,drawdown,20-30,win_50,decile 10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,drawdown,20-30,win_50,deciles 8-10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,drawdown,20-30,win_100,decile 10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,drawdown,20-30,win_100,deciles 8-10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,drawdown,20-30,launch_300,decile 10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,drawdown,20-30,launch_300,deciles 8-10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,drawdown,>30,win_50,decile 10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,drawdown,>30,win_50,deciles 8-10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,drawdown,>30,win_100,decile 10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,drawdown,>30,win_100,deciles 8-10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,drawdown,>30,launch_300,decile 10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,drawdown,>30,launch_300,deciles 8-10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
