label,category,bucket,all_winners,population,c1,c2
launch_300,sector,Basic Materials,0.06696117182050686,0.05786929423725995,0.08420099592575826,0.04875717017208413
launch_300,sector,Communication Services,0.04185073238781679,0.042029034806239346,0.02761430511543685,0.05688336520076482
launch_300,sector,Consumer Cyclical,0.13717740060451059,0.12826603774298037,0.1751923947487551,0.09703632887189292
launch_300,sector,Consumer Defensive,0.029993024877935363,0.05115674335453683,0.02127659574468085,0.03919694072657744
launch_300,sector,Energy,0.0792838874680307,0.07200873841083381,0.1308284291534631,0.0248565965583174
launch_300,sector,Financial Services,0.039525691699604744,0.155547114472426,0.047080126754187414,0.03154875717017208
launch_300,sector,Healthcare,0.27481980934666356,0.15283336923943322,0.27252150294250793,0.27724665391969405
launch_300,sector,Industrials,0.12555219716345037,0.14616617343024202,0.11317338162064282,0.13862332695984703
launch_300,sector,Real Estate,0.005580097651708905,0.005939624837950102,0.005885015844273427,0.005258126195028681
launch_300,sector,Technology,0.1904208323645664,0.15568506948775224,0.12041647804436396,0.26434034416826
launch_300,sector,Unknown,0.0,0.00011716727329077515,0.0,0.0
launch_300,sector,Utilities,0.008835154615205766,0.03238163270705536,0.0018107741059302852,0.016252390057361378
launch_300,drawdown_bucket,0-10,0.6603115554522204,0.760797342192691,0.5939339067451336,0.7304015296367112
launch_300,drawdown_bucket,10-20,0.14787258777028597,0.13922873697458982,0.13580805794477138,0.16061185468451242
launch_300,drawdown_bucket,20-30,0.039758195768425944,0.05844190204060035,0.0362154821186057,0.04349904397705545
launch_300,drawdown_bucket,>30,0.15205766100906765,0.0415320187921188,0.23404255319148937,0.06548757170172084
launch_300,mst_bucket,0-12,0.8435247616833295,0.7918958042777393,0.8913535536441829,0.7930210325047801
launch_300,mst_bucket,13-24,0.1011392699372239,0.0912449589725564,0.07922136713444998,0.124282982791587
launch_300,mst_bucket,>24,0.05533596837944664,0.11685923674970425,0.029425079221367133,0.08269598470363289
launch_300,price_bucket,1 5-10,0.36224133922343643,0.11226325596513707,0.5500226346763242,0.16395793499043976
launch_300,price_bucket,2 10-20,0.3027202976052081,0.21704481459223898,0.3345405160706202,0.2691204588910134
launch_300,price_bucket,3 20-50,0.23180655661474076,0.3883736048590402,0.10683567224988683,0.3637667304015296
launch_300,price_bucket,4 50+,0.10323180655661474,0.28231832458358375,0.008601177003168854,0.2031548757170172
launch_300,profitable,False,0.5845152290165078,0.23296822499140143,0.6885468537799909,0.47466539196940727
launch_300,profitable,True,0.41548477098349224,0.7668465751250099,0.3114531462200091,0.5253346080305927
launch_300,ipo_lt_3y,False,0.7795861427574983,0.8982704598626498,0.7858759619737438,0.7729445506692161
launch_300,ipo_lt_3y,True,0.22041385724250173,0.10172954013735028,0.21412403802625624,0.22705544933078395
win_100,sector,Basic Materials,0.07011341876565032,0.05785412614316572,0.07676368088914005,0.06287179487179487
win_100,sector,Communication Services,0.0410958904109589,0.04161248607424443,0.04059527173401149,0.04164102564102564
win_100,sector,Consumer Cyclical,0.14346737369273826,0.12789306452595117,0.16765564660450222,0.11712820512820513
win_100,sector,Consumer Defensive,0.032503559679874304,0.051033640326838825,0.02345295281152868,0.04235897435897436
win_100,sector,Energy,0.07816566013649531,0.07088433473396881,0.10454930771404351,0.049435897435897436
win_100,sector,Financial Services,0.07787106594000098,0.15672609516440453,0.0963549025148347,0.05774358974358974
win_100,sector,Healthcare,0.23587175332645946,0.15381377637833635,0.2305736083639446,0.24164102564102563
win_100,sector,Industrials,0.13075072421073305,0.14616401405650542,0.12668362060845814,0.1351794871794872
win_100,sector,Real Estate,0.004811705209407375,0.0060109113444309515,0.0046152397098992185,0.005025641025641026
win_100,sector,Technology,0.18043894535277655,0.1556944250409265,0.12517660356032778,0.24061538461538462
win_100,sector,Unknown,0.0,0.00012358548354163756,0.0,0.0
win_100,sector,Utilities,0.004909903274905484,0.03218954072768566,0.0035791654893095977,0.006358974358974359
win_100,drawdown_bucket,0-10,0.7136544410075122,0.7732904903657055,0.6508429876612979,0.782051282051282
win_100,drawdown_bucket,10-20,0.12142190798841263,0.13195705673111022,0.12630686634642554,0.1161025641025641
win_100,drawdown_bucket,20-30,0.05877154220061865,0.055389580848190456,0.05557125364980691,0.06225641025641026
win_100,drawdown_bucket,>30,0.10615210880345657,0.039362872054993746,0.16727889234246962,0.03958974358974359
win_100,mst_bucket,0-12,0.8588893798792164,0.802764732643404,0.8980879721201847,0.8162051282051282
win_100,mst_bucket,13-24,0.07659449108852556,0.08647938988175198,0.060280681925214276,0.09435897435897436
win_100,mst_bucket,>24,0.06451612903225806,0.11075587747484408,0.041631345954601114,0.08943589743589743
win_100,price_bucket,1 5-10,0.2621397358472038,0.11263652613743422,0.4166902138080437,0.09384615384615384
win_100,price_bucket,2 10-20,0.31246624441498505,0.21477903273761548,0.3793915418668174,0.23958974358974358
win_100,price_bucket,3 20-50,0.28212304217606915,0.38273707815259406,0.18121880003767543,0.392
win_100,price_bucket,4 50+,0.14327097756174204,0.28984736297235625,0.022699444287463504,0.2745641025641026
win_100,profitable,False,0.471841704718417,0.23543571942871266,0.5985683338042762,0.33384615384615385
win_100,profitable,True,0.5278146020523395,0.7643815889869214,0.4007723462371668,0.6661538461538462
win_100,ipo_lt_3y,False,0.838758776452104,0.9014271436708112,0.8289535650372045,0.8494358974358974
win_100,ipo_lt_3y,True,0.1612412235478961,0.09857285632918875,0.1710464349627955,0.15056410256410258
