label,field,stat,all_winners,population,c1,c2
launch_300,ev11_t12,mean,1.9195535921878633,1.7525427188098828,1.9013128112267994,1.9388145315487573
launch_300,ev12_t12,mean,0.18367821436875145,0.16637374848343972,0.18832050701674966,0.17877629063097514
launch_300,ev21_t12,mean,0.16833294582655198,0.22528242982247268,0.17926663648709823,0.15678776290630975
launch_300,ev22_t12,mean,4.1776331085794,4.088000181420294,4.210955183340878,4.142447418738049
launch_300,ev23_t12,mean,0.6624040920716112,0.6421843759330862,0.6364870982344952,0.6897705544933078
launch_300,ev32_t12,mean,0.24040920716112532,0.17240030387899266,0.2539610683567225,0.22609942638623326
launch_300,ev53_t12,mean,0.34178098116717043,0.3709024525756012,0.42417383431416933,0.25478011472275336
launch_300,ev71_t12,mean,2.602883050453383,2.7548728357125847,2.9542779538252604,2.2318355640535374
launch_300,ev81_t12,mean,2.812136712392467,3.045929571129984,2.9913988229968314,2.622848948374761
launch_300,insider_net_buys_12m,mean,7.920731707317073,5.795522733040862,10.821122740247384,4.86936936936937
launch_300,officer_buys_12m,mean,2.506341463414634,1.7723840687429753,3.891531874405328,1.049049049049049
launch_300,ev11_f12,mean,1.918158567774936,1.5423843162155726,1.8646446355817112,1.9746653919694073
launch_300,ev12_f12,mean,0.2178563124854685,0.16991144421892895,0.21050248981439565,0.22562141491395793
launch_300,ev21_f12,mean,0.19483840967216925,0.22992376568057177,0.1815301041195111,0.20889101338432123
launch_300,ev22_f12,mean,4.262032085561497,3.9838970591014404,4.293345405160706,4.2289674952198855
launch_300,ev23_f12,mean,0.7398279469890723,0.6285835232577037,0.695789950203712,0.7863288718929254
launch_300,ev32_f12,mean,0.2945826551964659,0.1503841952687099,0.2557718424626528,0.3355640535372849
launch_300,ev52_f12,mean,2.421994884910486,2.4206777559821453,2.5789950203712086,2.2562141491395793
launch_300,ev53_f12,mean,0.3345733550337131,0.39003284463241605,0.35129017655047534,0.31692160611854686
launch_300,ev71_f12,mean,2.713089979074634,2.7080777385960335,2.908103214124038,2.50717017208413
launch_300,ev81_f12,mean,3.275517321553127,2.980053216619611,3.314622000905387,3.234225621414914
launch_300,ev_total_f12,mean,16.37247151825157,15.203925859573133,16.654594839293797,16.074569789674953
launch_300,shares_chg_4q,median,0.01778260534446896,0.005176201571168715,0.014188242622816816,0.02316736725722668
launch_300,shares_chg_8q,median,0.048525613306733995,0.011440669930461,0.041102663806865225,0.05689408780675076
launch_300,shares_change_f12,median,0.025234828504830054,0.00407021959788656,0.018517578346047614,0.03358922785391383
win_100,ev11_t12,mean,1.762802572789316,1.7289304661501153,1.8112461147216727,1.710051282051282
win_100,ev12_t12,mean,0.17611823047085973,0.16398719009596682,0.16822077799755109,0.18471794871794872
win_100,ev21_t12,mean,0.20287720331909462,0.2200555955566541,0.196288970518979,0.21005128205128204
win_100,ev22_t12,mean,4.147837187607404,4.0925511984209715,4.223038523123293,4.065948717948718
win_100,ev23_t12,mean,0.6825747532773604,0.6429937777395678,0.7312800226052557,0.6295384615384615
win_100,ev32_t12,mean,0.24338390533706486,0.1737289501681837,0.25769991523029107,0.2277948717948718
win_100,ev53_t12,mean,0.34344773407963863,0.3689008772778237,0.39116511255533576,0.2914871794871795
win_100,ev71_t12,mean,2.6846369126528207,2.7725292754308475,3.035697466327588,2.3023589743589743
win_100,ev81_t12,mean,2.92207983502725,3.0182333365573024,3.071489121220684,2.7593846153846155
win_100,insider_net_buys_12m,mean,7.422667866024657,5.630027037597565,10.28788029925187,4.185823754789272
win_100,officer_buys_12m,mean,2.4085930472511774,1.715756627612359,3.6667331670822945,0.9872661708361505
win_100,ev11_f12,mean,1.9080866106937693,1.5323346193387997,1.9888857492700387,1.820102564102564
win_100,ev12_f12,mean,0.20479206559630775,0.1698333207956756,0.21333710087595367,0.19548717948717947
win_100,ev21_f12,mean,0.24539696567977612,0.22729519736064394,0.2382970707356127,0.2531282051282051
win_100,ev22_f12,mean,4.110030932390632,3.988123255922252,4.148629556371857,4.068
win_100,ev23_f12,mean,0.7095301222565915,0.6326143882160346,0.727606668550438,0.6898461538461539
win_100,ev32_f12,mean,0.29493788972357243,0.1521802986828295,0.2679664688706791,0.3243076923076923
win_100,ev52_f12,mean,2.400942701428782,2.412515806404236,2.546105302816238,2.2428717948717947
win_100,ev53_f12,mean,0.35321844159670057,0.3852911781457879,0.36422718282000566,0.3412307692307692
win_100,ev71_f12,mean,2.789512446604802,2.7306481252619474,3.0302345295281152,2.5273846153846153
win_100,ev81_f12,mean,3.319438307065351,2.9592364924648678,3.4108505227465384,3.219897435897436
win_100,ev_total_f12,mean,16.335886483036283,15.190072682593074,16.936140152585477,15.68225641025641
win_100,shares_chg_4q,median,0.011559207995792908,0.005058215537073529,0.009468578680420947,0.014626627947441628
win_100,shares_chg_8q,median,0.027093911838774742,0.011042211646073885,0.025331304515396447,0.02915127627106795
win_100,shares_change_f12,median,0.018108121533037647,0.003961558880746452,0.015067246105175736,0.02156838711532094
