label,field,all_winners,population,c1,c2
launch_300,years_since_first_price,8.413415468856947,16.32854209445585,8.290212183436003,8.506502395619439
launch_300,drawdown_from_3y_high,-0.5528113504992118,-0.19398673229188956,-0.7429928741092637,-0.2731911375819151
launch_300,months_since_3y_low,12.0,26.0,3.0,25.0
launch_300,realized_vol_12m,0.6597820129675156,0.37147725725043057,0.7868893918164421,0.5496948732701474
launch_300,avg_dollar_volume_20d,10.155890174430002,16.150492325000002,7.074844306250001,15.473942703250001
launch_300,price,13.39,30.2,9.2,22.775
launch_300,marketcap_musd,790.4,1868.9,522.6,1406.65
launch_300,rev_growth_yoy,0.0662524015536391,0.07348017621145364,-0.020308617638699178,0.1732139418447911
launch_300,gross_margin,0.426,0.441,0.381,0.4815
launch_300,op_margin,-0.0025433401653863546,0.10311400305424606,-0.03169968717413973,0.03504219918013021
launch_300,cash_to_mcap,0.11295930652540333,0.0726757012291207,0.1737187073281748,0.07547497815453699
launch_300,net_debt_to_mcap,0.052039406865732274,0.11437863131214662,0.34969155275148966,-0.0018713877082063453
launch_300,capex_to_rev,0.03543076045317467,0.03163900414937759,0.041970802919708027,0.029296285110238598
launch_300,rnd_to_rev,0.038128561616005384,0.0,0.0,0.09647843915056377
launch_300,shares_chg_4q,0.01778260534446896,0.005176201571168715,0.014188242622816816,0.02316736725722668
launch_300,shares_chg_8q,0.048525613306733995,0.011440669930461,0.041102663806865225,0.05689408780675076
launch_300,rev_growth_streak,1.0,3.0,0.0,3.0
launch_300,quarters_since_loss,0.0,7.0,0.0,1.0
launch_300,ev11_t12,1.0,1.0,1.0,1.0
launch_300,ev12_t12,0.0,0.0,0.0,0.0
launch_300,ev21_t12,0.0,0.0,0.0,0.0
launch_300,ev22_t12,4.0,4.0,4.0,4.0
launch_300,ev23_t12,0.0,0.0,0.0,0.0
launch_300,ev32_t12,0.0,0.0,0.0,0.0
launch_300,ev53_t12,0.0,0.0,0.0,0.0
launch_300,ev71_t12,1.0,1.0,2.0,1.0
launch_300,ev81_t12,2.0,2.0,2.0,2.0
launch_300,insider_net_buys_12m,2.0,0.0,3.0,1.0
launch_300,officer_buys_12m,0.0,0.0,0.0,0.0
launch_300,inst_pct,0.7494972975897524,0.8234376900156226,0.7519548441937607,0.748463263284451
