system,window,year,system_return,spy_return
S-A_canslim,build,2006,0.03385189063411009,0.1584682185784676
S-A_canslim,build,2007,-0.028560135902561234,0.05136235515189469
S-A_canslim,build,2008,-0.024038741478912273,-0.3680705699213006
S-A_canslim,build,2009,-0.005908676360848464,0.2636436902209447
S-A_canslim,build,2010,0.05942957582303321,0.15056377179576663
S-A_canslim,build,2011,-0.017727273655797515,0.018878186020729437
S-A_canslim,build,2012,0.014164200394598758,0.15991911145784132
S-A_canslim,build,2013,0.0,0.32306167420374
S-A_canslim,build,2014,0.033069482580514675,0.13462027263849285
S-A_canslim,build,2015,0.006234275861157101,0.01252151767396903
S-A_canslim,build,2016,-0.01655733715457741,0.12001606968186684
S-A_canslim,build,2017,0.041975633014466496,0.2170041327684349
S-A_canslim,build,2018,0.02683049205249577,-0.045568517229154004
S-A_canslim,build,2019,-0.004144718430693306,0.31221664779516733
S-A_canslim,holdout,2020,-0.008326985517977836,0.18373277217490958
S-A_canslim,holdout,2021,-0.040861327469975284,0.2874430236779477
S-A_canslim,holdout,2022,-0.01657231764767464,-0.18171910177737793
S-A_canslim,holdout,2023,0.047272177039679786,0.26189492915143076
S-A_canslim,holdout,2024,-0.012030382773476012,0.24887407400985673
S-A_canslim,holdout,2025,-0.00778093383809797,0.0605107700424139
S-B_minervini,build,2006,-0.006839099056833664,0.1584682185784676
S-B_minervini,build,2007,0.052429151786848704,0.05136235515189469
S-B_minervini,build,2008,-0.10796322023959881,-0.3680705699213006
S-B_minervini,build,2009,0.05046215040865487,0.2636436902209447
S-B_minervini,build,2010,0.06403197076341982,0.15056377179576663
S-B_minervini,build,2011,-0.0771444207860903,0.018878186020729437
S-B_minervini,build,2012,-0.05393655682884324,0.15991911145784132
S-B_minervini,build,2013,0.3303764931588997,0.32306167420374
S-B_minervini,build,2014,-0.10334851707787607,0.13462027263849285
S-B_minervini,build,2015,-0.04295630382925053,0.01252151767396903
S-B_minervini,build,2016,-0.0721560441370166,0.12001606968186684
S-B_minervini,build,2017,0.04412906843627762,0.2170041327684349
S-B_minervini,build,2018,-0.12355821384736942,-0.045568517229154004
S-B_minervini,build,2019,0.06984264980549515,0.31221664779516733
S-B_minervini,holdout,2020,-0.037502439487412276,0.18373277217490958
S-B_minervini,holdout,2021,-0.028010753926619336,0.2874430236779477
S-B_minervini,holdout,2022,-0.1711491158560453,-0.18171910177737793
S-B_minervini,holdout,2023,0.0769897501677057,0.26189492915143076
S-B_minervini,holdout,2024,0.1999479590104689,0.24887407400985673
S-B_minervini,holdout,2025,0.08654003963052803,0.0605107700424139
S-C_weinstein,build,2006,-0.09932203776449078,0.1584682185784676
S-C_weinstein,build,2007,0.11110940478637987,0.05136235515189469
S-C_weinstein,build,2008,-0.06903560615245874,-0.3680705699213006
S-C_weinstein,build,2009,0.024402012079922875,0.2636436902209447
S-C_weinstein,build,2010,-0.0628023427548624,0.15056377179576663
S-C_weinstein,build,2011,-0.05947647399293443,0.018878186020729437
S-C_weinstein,build,2012,0.22086175963069588,0.15991911145784132
S-C_weinstein,build,2013,0.3197032109209048,0.32306167420374
S-C_weinstein,build,2014,0.07719861757258006,0.13462027263849285
S-C_weinstein,build,2015,0.11464275935425516,0.01252151767396903
S-C_weinstein,build,2016,0.012257455500833014,0.12001606968186684
S-C_weinstein,build,2017,0.15374192045975743,0.2170041327684349
S-C_weinstein,build,2018,-0.060279784401702674,-0.045568517229154004
S-C_weinstein,build,2019,-0.04304474085486831,0.31221664779516733
S-C_weinstein,holdout,2020,0.3287826215446945,0.18373277217490958
S-C_weinstein,holdout,2021,-0.022158350310236496,0.2874430236779477
S-C_weinstein,holdout,2022,-0.11913390918366618,-0.18171910177737793
S-C_weinstein,holdout,2023,0.2158525879478299,0.26189492915143076
S-C_weinstein,holdout,2024,0.059496012893069716,0.24887407400985673
S-C_weinstein,holdout,2025,-0.08642492181557404,0.0605107700424139
