system,window,trades,win_rate,avg_winner,avg_loser,expectancy,expectancy_dollar,profit_factor,cagr,total_return,max_drawdown,worst_12m,sharpe,turnover,avg_holding_days,spy_cagr,spy_total,spy_max_drawdown,equity_start,equity_end
S-A_canslim,build,46,0.5,0.12071714124041538,-0.0692221116353424,0.0257475148025365,0.025243935966952593,1.7217207546957536,0.008142934237121535,0.12014900718073451,-0.06219845035259497,-0.046438740283973434,0.37685964335852773,0.33712542963963427,44.54347826086956,0.09213322929699252,2.4315625621759533,-0.5520185564591099,100000.0,112014.90071807345
S-A_canslim,holdout,28,0.35714285714285715,0.0928392586260001,-0.07269137811898932,-0.013573293567207382,-0.014340448147169907,0.6946344385293112,-0.007343112554675235,-0.03970857833554786,-0.08406215390339378,-0.048924114031896226,-0.23555490435977885,0.445124478163103,37.92857142857143,0.1429166187018711,1.0842078696329849,-0.33700067485140295,112014.90071807345,107566.94825816121
S-B_minervini,build,1100,0.48545454545454547,0.14796266607341632,-0.0703226413833864,0.035644953327461454,-0.0012597104973475443,0.9739293176550138,-0.004141124412242125,-0.05640322759488259,-0.3395943320571989,-0.24623907887773488,0.03054665190357264,5.883141845875828,42.806363636363635,0.09213322929699252,2.4315625621759533,-0.5520185564591099,100000.0,94359.67724051174
S-B_minervini,holdout,617,0.47811993517017826,0.1557344463886036,-0.06567339225015759,0.04018610920597621,0.0033994943905356844,1.073335758269063,0.015599369109478678,0.08882283132833146,-0.35834635807129855,-0.2674662076749188,0.1779805328116241,7.374103345903097,30.899513776337116,0.1429166187018711,1.0842078696329849,-0.33700067485140295,94359.67724051174,102740.9709362415
S-C_weinstein,build,203,0.4088669950738916,0.23199869035766277,-0.1010725402051964,0.035109292980603175,0.026707937396274965,1.4289533823156553,0.039057522273798106,0.7092076285384532,-0.38376871143817803,-0.36593461351172163,0.33961445076015523,1.3003421484217998,157.13793103448276,0.09213322929699252,2.4315625621759533,-0.5520185564591099,100000.0,170920.7628538453
S-C_weinstein,holdout,133,0.2706766917293233,0.40541874804899175,-0.10639390567494401,0.03214185022025664,0.027310070087661224,1.347912067460912,0.055673639697718214,0.3469666934233937,-0.3381117185035021,-0.2570179666556508,0.3536091351187083,1.8800825857703127,100.94736842105263,0.1429166187018711,1.0842078696329849,-0.33700067485140295,170920.7628538453,230224.57477864804
