lag,size,combo,n_nn,n_true,events,base,rate,lift,ci_low,ci_high,catch,nn_share,rate_200,rate_500,events_500,sufficient,qualifying_flags_at_lag
3,2,h9_rs12_top_decile AND h10_sponsorship,153131,1217,28,0.006327915314338703,0.023007395234182416,3.635857006816912,2.5230064500367466,5.223078314126141,0.010756819054936612,0.38922143512552454,0.0599835661462613,0.009038619556285949,11,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster, ctl_pe_lt_15"
3,2,h5_peg_lt_05 AND h11_insider_cluster,133270,1929,26,0.0037367749681098523,0.01347848626231208,3.6069836630086964,2.465913746212934,5.265583015446172,0.009988474836726853,0.33873964552689306,0.0352514256091239,0.003110419906687403,6,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster, ctl_pe_lt_15"
0,2,h5_peg_lt_05 AND h11_insider_cluster,136793,1990,24,0.0033773658008816243,0.012060301507537688,3.5709195327285777,2.40359157164732,5.294950561398877,0.009220130618517095,0.3476942472466443,0.03015075376884422,0.004020100502512563,8,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster"
6,2,h5_peg_lt_05 AND h9_rs6_top_decile,156996,5552,61,0.0031593161609212972,0.010987031700288185,3.477661348424282,2.7105041780499666,4.458862799418669,0.02343449865539762,0.39904531694409917,0.027737752161383286,0.002701729106628242,15,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship"
3,2,h11_insider_cluster AND ctl_pe_lt_15,249809,3881,61,0.004535465095332834,0.01571759855707292,3.465487712218737,2.7022646378820547,4.4398795821968395,0.02343449865539762,0.6349531935876613,0.04560680237052306,0.002061324400927596,8,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster, ctl_pe_lt_15"
0,2,h9_rs12_top_decile AND h10_sponsorship,168304,1617,36,0.006743749405837057,0.022263450834879406,3.3013461051220645,2.391007524117926,4.547478500805273,0.013830195927775643,0.4277874788081204,0.04700061842918986,0.009894867037724181,16,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster"
3,3,h5_peg_lt_05 AND h9_rs6_top_decile AND h11_insider_cluster,129880,85,1,0.003672620880813058,0.011764705882352941,3.20335429769392,0.5662950735110391,17.33685875878177,0.000384172109104879,0.3301230971789065,0.011764705882352941,0.0,0,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster, ctl_pe_lt_15"
0,3,h9_rs6_top_decile AND h9_rs12_top_decile AND h11_insider_cluster,320901,471,11,0.007550615298799318,0.02335456475583864,3.09306776092174,1.7336206841533386,5.47390259619833,0.0042258932001536685,0.8156516169372364,0.06369426751592357,0.008492569002123142,4,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster"
3,3,h9_rs6_top_decile AND h10_sponsorship AND ctl_pe_lt_15,121673,111,1,0.0029340938416904327,0.009009009009009009,3.070457011633482,0.5426157292085798,16.793373290792754,0.000384172109104879,0.3092629165618193,0.04504504504504504,0.0,0,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster, ctl_pe_lt_15"
6,2,h5_peg_lt_05 AND h9_rs12_top_decile,156958,7227,69,0.0031600810407879814,0.009547530095475302,3.021292799850025,2.3896891535208997,3.8178022917569763,0.02650787552823665,0.39894873026645217,0.027674000276740003,0.0024906600249066002,18,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship"
0,2,h9_rs6_top_decile AND h11_insider_cluster,323860,867,20,0.00769468288766751,0.02306805074971165,2.997920913243024,1.9470414711327921,4.595630915883206,0.00768344218209758,0.8231726690203315,0.06228373702422145,0.00922722029988466,8,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster"
0,3,h5_peg_lt_05 AND h9_rs6_top_decile AND h11_insider_cluster,136754,105,1,0.00337832897026778,0.009523809523809525,2.8190888476602765,0.4982253738668981,15.388157759330335,0.000384172109104879,0.34759511881432226,0.009523809523809525,0.0,0,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster"
