cell,holdout_lift,events,sufficient,drawdown 0-10,drawdown 10-20,drawdown 20-30,mst 0-12,mst 13-24
decile 10,1.159761906451622,1751,True,2.008529760493473,1.844211556160776,1.7085363553810928,1.9678501467842484,1.9849087518470572
deciles 8-10,1.064751392855455,4809,True,1.843986121789617,1.6931292640488385,1.5685689054075562,1.8066390808868509,1.82230020357053
