feature,direction,lag,bucket_type,bucket,label,decile,rows,row_share,events,rate,base,coverage,lift,ci_low,ci_high,sufficient,window
realized_vol_12m,n/a,0,all,ALL,win_50,1,39106,0.10014238010366092,1074,0.027463816294174808,0.11685411673119865,0.9925653675758523,0.2350265190686457,0.2215570279745645,0.24929039543090079,True,build
realized_vol_12m,n/a,0,all,ALL,win_50,2,39026,0.099937516645156,2404,0.06159995900169118,0.11685411673119865,0.9925653675758523,0.5271526645774108,0.5071063754033225,0.547937463047615,True,build
realized_vol_12m,n/a,0,all,ALL,win_50,3,39049,0.09999641488947617,3293,0.08432994442879459,0.11685411673119865,0.9925653675758523,0.7216685794885607,0.6984307631745664,0.7456062027806031,True,build
realized_vol_12m,n/a,0,all,ALL,win_50,4,39017,0.0999144695060742,3591,0.09203680446984648,0.11685411673119865,0.9925653675758523,0.787621412445059,0.7634172735555959,0.8125129465769332,True,build
realized_vol_12m,n/a,0,all,ALL,win_50,5,39013,0.09990422633314895,4412,0.11309050829210776,0.11685411673119865,0.9925653675758523,0.9677922477669454,0.9412237921654718,0.9950126911283593,True,build
realized_vol_12m,n/a,0,all,ALL,win_50,6,39055,0.10001177964886403,4939,0.12646268083472026,0.11685411673119865,0.9925653675758523,1.0822270055373773,1.0543320301089796,1.1107507581980811,True,build
realized_vol_12m,n/a,0,all,ALL,win_50,7,39038,0.09996824616393174,5691,0.14578103386443977,0.11685411673119865,0.9925653675758523,1.2475472661333975,1.2178887145364599,1.277802335911668,True,build
realized_vol_12m,n/a,0,all,ALL,win_50,8,39028,0.09994263823161863,6217,0.15929589013016296,0.11685411673119865,0.9925653675758523,1.3632030653793206,1.3324203259898355,1.3945597104168947,True,build
realized_vol_12m,n/a,0,all,ALL,win_50,9,39047,0.09999129330301354,6814,0.17450764463339052,0.11685411673119865,0.9925653675758523,1.4933803747352195,1.4614386250088511,1.5258701396107301,True,build
realized_vol_12m,n/a,0,all,ALL,win_50,10,39125,0.10019103517505583,7197,0.18394888178913738,0.11685411673119865,0.9925653675758523,1.5741754499952951,1.5415878286030085,1.607294130064829,True,build
realized_vol_12m,n/a,0,all,ALL,win_100,1,39106,0.10014238010366092,39,0.0009972894185035545,0.027044537315878966,0.9925653675758523,0.036875817354730805,0.02698004971396308,0.05039621330413201,False,build
realized_vol_12m,n/a,0,all,ALL,win_100,2,39026,0.099937516645156,173,0.004432942141136678,0.027044537315878966,0.9925653675758523,0.16391266337301746,0.14127977321640184,0.19015260443209625,True,build
realized_vol_12m,n/a,0,all,ALL,win_100,3,39049,0.09999641488947617,272,0.006965607313887679,0.027044537315878966,0.9925653675758523,0.257560602073894,0.2288009000996175,0.2899068071094919,True,build
realized_vol_12m,n/a,0,all,ALL,win_100,4,39017,0.0999144695060742,403,0.010328831022374863,0.027044537315878966,0.9925653675758523,0.3819193096829347,0.346566044830643,0.42083753347821945,True,build
realized_vol_12m,n/a,0,all,ALL,win_100,5,39013,0.09990422633314895,614,0.015738343629046726,0.027044537315878966,0.9925653675758523,0.5819416854954326,0.5380062854199987,0.6294030230151594,True,build
realized_vol_12m,n/a,0,all,ALL,win_100,6,39055,0.10001177964886403,849,0.021738573806170784,0.027044537315878966,0.9925653675758523,0.803806460146285,0.7520423059836822,0.8590491192610353,True,build
realized_vol_12m,n/a,0,all,ALL,win_100,7,39038,0.09996824616393174,1205,0.03086736000819714,0.027044537315878966,0.9925653675758523,1.141352859827764,1.0795993924408116,1.2065199221485108,True,build
realized_vol_12m,n/a,0,all,ALL,win_100,8,39028,0.09994263823161863,1711,0.043840319770421236,0.027044537315878966,0.9925653675758523,1.6210415899657773,1.5475796132423891,1.6978236156107942,True,build
realized_vol_12m,n/a,0,all,ALL,win_100,9,39047,0.09999129330301354,2222,0.056905780213588754,0.027044537315878966,0.9925653675758523,2.104150629346394,2.020788098999644,2.1907365457053847,True,build
realized_vol_12m,n/a,0,all,ALL,win_100,10,39125,0.10019103517505583,3073,0.07854313099041534,0.027044537315878966,0.9925653675758523,2.90421426231239,2.807169835835741,3.0043185573812057,True,build
realized_vol_12m,n/a,0,all,ALL,launch_300,1,39106,0.10014238010366092,2,5.114304710274638e-05,0.006489050048142913,0.9925653675758523,0.0078814382264447,0.0021613918849679556,0.028736559837860342,False,build
realized_vol_12m,n/a,0,all,ALL,launch_300,2,39026,0.099937516645156,11,0.00028186337313585813,0.006489050048142913,0.9925653675758523,0.04343676979599256,0.02425632000314719,0.07777631845964418,False,build
realized_vol_12m,n/a,0,all,ALL,launch_300,3,39049,0.09999641488947617,27,0.0006914389613050271,0.006489050048142913,0.9925653675758523,0.10655472776063862,0.07324079701938271,0.155006412207451,False,build
realized_vol_12m,n/a,0,all,ALL,launch_300,4,39017,0.0999144695060742,77,0.0019734987313222443,0.006489050048142913,0.9925653675758523,0.3041275250892903,0.24340471747785825,0.3799615998571226,False,build
realized_vol_12m,n/a,0,all,ALL,launch_300,5,39013,0.09990422633314895,94,0.0024094532591700203,0.006489050048142913,0.9925653675758523,0.37131062964440786,0.30351315427765285,0.4542076921549924,False,build
realized_vol_12m,n/a,0,all,ALL,launch_300,6,39055,0.10001177964886403,135,0.00345666367942645,0.006489050048142913,0.9925653675758523,0.5326917890571217,0.4502041877285817,0.6302309970782991,True,build
realized_vol_12m,n/a,0,all,ALL,launch_300,7,39038,0.09996824616393174,192,0.004918284748194068,0.006489050048142913,0.9925653675758523,0.7579360170910718,0.6582403030197281,0.8726455666969415,True,build
realized_vol_12m,n/a,0,all,ALL,launch_300,8,39028,0.09994263823161863,391,0.010018448293532848,0.006489050048142913,0.9925653675758523,1.5439006047426012,1.3988959529257605,1.7037682315986438,True,build
realized_vol_12m,n/a,0,all,ALL,launch_300,9,39047,0.09999129330301354,556,0.014239250134453351,0.006489050048142913,0.9925653675758523,2.194350487176232,2.0204802848269603,2.382948462625798,True,build
realized_vol_12m,n/a,0,all,ALL,launch_300,10,39125,0.10019103517505583,1049,0.02681150159744409,0.006489050048142913,0.9925653675758523,4.13180687443106,3.892214038515105,4.385717706827408,True,build
realized_vol_12m,n/a,0,drawdown,0-10,win_50,1,30211,0.1001488425749434,661,0.021879447883221343,0.10195550634652806,0.9919111143262057,0.21459800129732193,0.19900460833531367,0.23138382342870037,True,build
realized_vol_12m,n/a,0,drawdown,0-10,win_50,2,30148,0.099939998872907,1411,0.046802441289637786,0.10195550634652806,0.9919111143262057,0.4590477058744123,0.43622384404741554,0.48300420072392874,True,build
realized_vol_12m,n/a,0,drawdown,0-10,win_50,3,30161,0.09998309360507325,2047,0.06786910248333941,0.10195550634652806,0.9919111143262057,0.6656737327424453,0.6383687622324115,0.6940582209618118,True,build
realized_vol_12m,n/a,0,drawdown,0-10,win_50,4,30146,0.0999333689141122,2266,0.07516751807868374,0.10195550634652806,0.9919111143262057,0.737258052774542,0.7085936318168178,0.7669842870805665,True,build
realized_vol_12m,n/a,0,drawdown,0-10,win_50,5,30133,0.09989027418194596,2868,0.09517804400491156,0.10195550634652806,0.9919111143262057,0.9335252936846673,0.9015308280572999,0.9665319954178122,True,build
realized_vol_12m,n/a,0,drawdown,0-10,win_50,6,30170,0.10001292841964987,3326,0.11024196221411998,0.10195550634652806,0.9919111143262057,1.0812752166560557,1.047098249668434,1.11642555816648,True,build
