rows_,k300,k200,k500,bucket_type,bucket
28682,498,1234,140,year,2020
32823,93,235,27,year,2021
30420,301,723,106,year,2022
29277,458,938,155,year,2023
14527,348,627,159,year,2024
135729,1698,3757,587,year,overall
98461,1196,2545,423,drawdown,0-10
34770,468,1115,152,drawdown,10-20
2498,34,97,12,drawdown,20-30
121373,1388,3187,472,mst,0-12
14356,310,570,115,mst,13-24
