label,category,bucket,winners,population,winner_share,population_share,ratio,sufficient,winner_coverage,population_coverage
launch_300,sector,Basic Materials,288,30622,0.06696117182050686,0.057876075419205586,1.1569749907106948,True,1.0,0.9998828327267092
launch_300,sector,Communication Services,180,22240,0.04185073238781679,0.04203395981069598,0.9956409668823881,True,1.0,0.9998828327267092
launch_300,sector,Consumer Cyclical,590,67873,0.13717740060451059,0.1282810680859428,1.0693503152983386,True,1.0,0.9998828327267092
launch_300,sector,Consumer Defensive,129,27070,0.029993024877935363,0.05116273795303688,0.5862279087852268,True,1.0,0.9998828327267092
launch_300,sector,Energy,341,38104,0.0792838874680307,0.07201717646703056,1.1009024701812191,True,1.0,0.9998828327267092
launch_300,sector,Financial Services,170,82309,0.039525691699604744,0.15556534163932442,0.25407774818663903,True,1.0,0.9998828327267092
launch_300,sector,Healthcare,1182,80873,0.27481980934666356,0.15285127840694315,1.7979555827789535,True,1.0,0.9998828327267092
launch_300,sector,Industrials,540,77345,0.12555219716345037,0.14618330132905938,0.8588682566473972,True,1.0,0.9998828327267092
launch_300,sector,Real Estate,24,3143,0.005580097651708905,0.005940320849146469,0.9393596395572938,False,1.0,0.9998828327267092
launch_300,sector,Technology,819,82382,0.1904208323645664,0.15570331282035774,1.222972259968957,True,1.0,0.9998828327267092
launch_300,sector,Utilities,38,17135,0.008835154615205766,0.032385427219256996,0.2728126621702311,False,1.0,0.9998828327267092
launch_300,exchange,NASDAQ,2650,254938,0.6161357823761916,0.48178048900328446,1.2788724251803214,True,1.0,1.0
launch_300,exchange,NYSE,1615,270518,0.37549407114624506,0.511223490904418,0.7345008158407379,True,1.0,1.0
launch_300,exchange,NYSEMKT,36,3702,0.008370146477563357,0.0069960200922975745,1.1964154429428608,False,1.0,1.0
launch_300,price_bucket,1 5-10,1558,59405,0.36224133922343643,0.11226325596513707,3.2267132830703673,True,1.0,1.0
launch_300,price_bucket,2 10-20,1302,114851,0.3027202976052081,0.21704481459223898,1.394736373563806,True,1.0,1.0
launch_300,price_bucket,3 20-50,997,205511,0.23180655661474076,0.3883736048590402,0.5968648582564582,True,1.0,1.0
launch_300,price_bucket,4 50+,444,149391,0.10323180655661474,0.28231832458358375,0.3656574779865262,True,1.0,1.0
launch_300,profitable,false,2514,123277,0.5845152290165078,0.23301137867160623,2.508526546423693,True,1.0,0.9998148001164113
launch_300,profitable,true,1787,405783,0.41548477098349224,0.7669886213283937,0.5417091719873095,True,1.0,0.9998148001164113
launch_300,ceo_change_12m,false,631,88657,0.14671006742617995,0.167543531421617,0.8756534267920472,True,1.0,1.0
launch_300,ceo_change_12m,true,3670,440501,0.85328993257382,0.8324564685783831,1.0250264906115931,True,1.0,1.0
launch_300,financing_12m,false,2280,299131,0.530109276912346,0.5652961875281107,0.9377549125713589,True,1.0,1.0
launch_300,financing_12m,true,2021,230027,0.46989072308765406,0.43470381247188933,1.080944564106026,True,1.0,1.0
launch_300,deal_12m,false,3735,440014,0.8684026970471983,0.8315361385446313,1.0443354856075064,True,1.0,1.0
launch_300,deal_12m,true,566,89144,0.13159730295280167,0.1684638614553687,0.7811604329612608,True,1.0,1.0
launch_300,ipo_lt_3y,false,3353,475327,0.7795861427574983,0.8982704598626498,0.8678746297375749,True,1.0,1.0
launch_300,ipo_lt_3y,true,948,53831,0.22041385724250173,0.10172954013735028,2.1666652276704452,True,1.0,1.0
launch_300,scalemarketcap,1 - Nano,0,47,0.0,8.882035233332955e-05,0.0,False,1.0,1.0
