label,cluster,field,mean_z
win_100,1,price,-0.49349604516671225
win_100,1,marketcap_musd,-0.3711581590464758
win_100,1,rev_growth_yoy,-0.008024621125599245
win_100,1,gross_margin,-0.0182483952410295
win_100,1,op_margin,-0.024758720913894527
win_100,1,cash_to_mcap,0.21887471903829783
win_100,1,net_debt_to_mcap,0.10707622680588556
win_100,1,capex_to_rev,0.009961263053084837
win_100,1,rnd_to_rev,0.021733130894291224
win_100,1,shares_chg_4q,0.03257554511193225
win_100,1,shares_chg_8q,0.023376494934091763
win_100,1,rev_growth_streak,-0.2590795574324405
win_100,1,quarters_since_loss,-0.22980142905863324
win_100,1,ev11_t12,0.024224283795172736
win_100,1,ev12_t12,-0.01694263539357526
win_100,1,ev21_t12,-0.012036677858255154
win_100,1,ev22_t12,0.053292030227781804
win_100,1,ev23_t12,0.046158124865000774
win_100,1,ev32_t12,0.019918947278553638
win_100,1,ev53_t12,0.07131426781970081
win_100,1,ev71_t12,0.09605607869942118
win_100,1,ev81_t12,0.0362216817051016
win_100,1,insider_net_buys_12m,0.04492601732293024
win_100,1,officer_buys_12m,0.07739374945334727
win_100,1,inst_pct,-0.013356369302226542
win_100,1,inst_pct_delta_4q,-0.0931882365952094
win_100,1,spy_drawdown,-0.19503132258711034
win_100,1,months_since_trough,-0.12835515983013185
win_100,1,pr_ret_6m_skip1,-0.5145849055696718
win_100,1,pr_ret_12m_skip1,-0.5871962247384049
win_100,1,pr_eps_growth_q0,-0.3123593438968729
win_100,1,pr_rev_growth_accel,-0.17201192573722388
win_100,1,pr_op_margin_delta,-0.2352481653966915
win_100,1,pr_pe,-0.2573784700644553
win_100,1,pr_fcf_ps_slope,-0.05731356205457822
win_100,1,pr_pct_from_52w_high,0.6373121919551542
win_100,1,pr_dist_above_30w_sma,-0.49022258121504886
win_100,1,pr_atr_contraction,-0.0416632282523923
win_100,1,pr_inst_pct,-0.014695489145834555
win_100,1,pr_inst_pct_delta_qoq,-0.13047217895552196
win_100,1,pr_insider_buy_count_90d,0.21017440925332206
win_100,1,pr_net_debt_to_ebitda,0.25842640741427314
win_100,1,pr_share_count_change_8q,0.008821485926238999
win_100,1,pr_shareholder_yield,0.05919612778380722
win_100,1,pr_marketcap,-0.350490860907342
win_100,1,pr_pb,-0.4591003876032806
win_100,1,pr_dividend_yield,0.12502313227648784
win_100,1,pr_realized_vol_12m,0.30770497972836697
win_100,2,years_since_first_price,0.03695291797144292
win_100,2,drawdown_from_3y_high,0.7075951815221239
win_100,2,months_since_3y_low,0.5148484513892809
win_100,2,realized_vol_12m,-0.4209935747488496
win_100,2,avg_dollar_volume_20d,0.2680877350030906
win_100,2,price,0.5373792319523064
win_100,2,marketcap_musd,0.40416268457399457
win_100,2,rev_growth_yoy,0.008738195127229453
win_100,2,gross_margin,0.01987109869477034
win_100,2,op_margin,0.026960342558237774
win_100,2,cash_to_mcap,-0.23833773251585716
win_100,2,net_debt_to_mcap,-0.11659777435877816
win_100,2,capex_to_rev,-0.01084704921380528
win_100,2,rnd_to_rev,-0.023665707764583564
win_100,2,shares_chg_4q,-0.03547226281573176
win_100,2,shares_chg_8q,-0.025455204791307924
win_100,2,rev_growth_streak,0.2821177088472022
win_100,2,quarters_since_loss,0.2502360792118471
win_100,2,ev11_t12,-0.02637838164649723
